id,value10_11,value14_15,value20_29,value30_39,value20over,percentile,type
p5,22.56,,26.97,28.58,29.06,5,percentile
p10,23.66,26.1,28.46,29.76,30.31,10,percentile
p25,24.76,27.56,30.39,33.03,33.43,25,percentile
p75,31.46,34.25,38.78,42.83,42.99,75,percentile
p90,35.24,39.09,46.69,49.84,47.83,90,percentile
p95,36.77,41.02,50.12,52.6,50.87,95,percentile
segment-5-10-0,22.7433333,26.1973333,27.2183333,28.7766667,29.2683333,6,standard
segment-5-10-1,22.9266667,26.2946667,27.4666667,28.9733333,29.4766667,7,standard
segment-5-10-2,23.11,26.392,27.715,29.17,29.685,8,standard
segment-5-10-3,23.2933333,26.4893333,27.9633333,29.3666667,29.8933333,8,standard
segment-5-10-4,23.4766667,26.5866667,28.2116667,29.5633333,30.1016667,9,standard
segment-10-25-0,23.7333333,26.684,28.5886667,29.978,30.518,11,standard
segment-10-25-1,23.8066667,26.7813333,28.7173333,30.196,30.726,12,standard
segment-10-25-2,23.88,26.8786667,28.846,30.414,30.934,13,standard
segment-10-25-3,23.9533333,26.976,28.9746667,30.632,31.142,14,standard
segment-10-25-4,24.0266667,27.0733333,29.1033333,30.85,31.35,15,standard
segment-10-25-5,24.1,27.1706667,29.232,31.068,31.558,16,standard
segment-10-25-6,24.1733333,27.268,29.3606667,31.286,31.766,17,standard
segment-10-25-7,24.2466667,27.3653333,29.4893333,31.504,31.974,18,standard
segment-10-25-8,24.32,27.4626667,29.618,31.722,32.182,19,standard
segment-10-25-9,24.3933333,27.6732,29.7466667,31.94,32.39,20,standard
segment-10-25-10,24.4666667,27.7864,29.8753333,32.158,32.598,21,standard
segment-10-25-11,24.54,27.8996,30.004,32.376,32.806,22,standard
segment-10-25-12,24.6133333,28.0128,30.1326667,32.594,33.014,23,standard
segment-10-25-13,24.6866667,28.126,30.2613333,32.812,33.222,24,standard
segment-25-50-0,24.8608,28.2392,30.5176,33.1748,33.6,26,standard
segment-25-50-1,24.9616,28.3524,30.6452,33.3196,33.77,27,standard
segment-25-50-2,25.0624,28.4656,30.7728,33.4644,33.94,28,standard
segment-25-50-3,25.1632,28.5788,30.9004,33.6092,34.11,29,standard
