id,value10_11,value14_15,value20_29,value20over,percentile,type
p5,22.56,,26.97,29.06,5,standard
p10,23.66,26.1,28.46,30.31,10,standard
p25,24.76,27.56,30.39,33.43,25,standard
p75,31.46,34.25,38.78,42.99,75,standard
p90,35.24,39.09,46.69,47.83,90,standard
p95,36.77,41.02,50.12,50.87,95,standard
segment-5-10-0,22.74333333,26.19733333,27.21833333,29.26833333,6,standard
segment-5-10-1,22.92666667,26.29466667,27.46666667,29.47666667,7,standard
segment-5-10-2,23.11,26.392,27.715,29.685,8,standard
segment-5-10-3,23.29333333,26.48933333,27.96333333,29.89333333,8,standard
segment-5-10-4,23.47666667,26.58666667,28.21166667,30.10166667,9,standard
segment-10-25-0,23.73333333,26.684,28.58866667,30.518,11,standard
segment-10-25-1,23.80666667,26.78133333,28.71733333,30.726,12,standard
segment-10-25-2,23.88,26.87866667,28.846,30.934,13,standard
segment-10-25-3,23.95333333,26.976,28.97466667,31.142,14,standard
segment-10-25-4,24.02666667,27.07333333,29.10333333,31.35,15,standard
segment-10-25-5,24.1,27.17066667,29.232,31.558,16,standard
segment-10-25-6,24.17333333,27.268,29.36066667,31.766,17,standard
segment-10-25-7,24.24666667,27.36533333,29.48933333,31.974,18,standard
segment-10-25-8,24.32,27.46266667,29.618,32.182,19,standard
segment-10-25-9,24.39333333,27.6732,29.74666667,32.39,20,standard
segment-10-25-10,24.46666667,27.7864,29.87533333,32.598,21,standard
segment-10-25-11,24.54,27.8996,30.004,32.806,22,standard
segment-10-25-12,24.61333333,28.0128,30.13266667,33.014,23,standard
segment-10-25-13,24.68666667,28.126,30.26133333,33.222,24,standard
segment-25-50-0,24.8608,28.2392,30.5176,33.6,26,standard
segment-25-50-1,24.9616,28.3524,30.6452,33.77,27,standard
segment-25-50-2,25.0624,28.4656,30.7728,33.94,28,standard
segment-25-50-3,25.1632,28.5788,30.9004,34.11,29,standard
segment-25-50-4,25.264,28.692,31.028,34.28,30,standard
segment-25-50-5,25.3648,28.8052,31.1556,34.45,31,standard
segment-25-50-6,25.4656,28.9184,31.2832,34.62,32,standard
segment-25-50-7,25.5664,29.0316,31.4108,34.79,33,standard
segment-25-50-8,25.6672,29.1448,31.5384,34.96,34,standard
segment-25-50-9,25.768,29.258,31.666,35.13,35,standard
segment-25-50-10,25.8688,29.3712,31.7936,35.3,36,standard
segment-25-50-11,25.9696,29.4844,31.9212,35.47,37,standard
segment-25-50-12,26.0704,29.5976,32.0488,35.64,38,standard
segment-25-50-13,26.1712,29.7108,32.1764,35.81,39,standard
segment-25-50-14,26.272,29.824,32.304,35.98,40,standard
segment-25-50-15,26.3728,29.9372,32.4316,36.15,41,standard
segment-25-50-16,26.4736,30.0504,32.5592,36.32,42,standard
segment-25-50-17,26.5744,30.1636,32.6868,36.49,43,standard
segment-25-50-18,26.6752,30.2768,32.8144,36.66,44,standard
segment-25-50-19,26.776,30.5444,32.942,36.83,45,standard
segment-25-50-20,26.8768,30.6988,33.0696,37,46,standard
segment-25-50-21,26.9776,30.8532,33.1972,37.17,47,standard
segment-25-50-22,27.0784,31.0076,33.3248,37.34,48,standard
segment-25-50-23,27.1792,31.162,33.4524,37.51,49,standard
segment-50-75-0,27.4472,31.3164,33.788,37.8924,51,standard
segment-50-75-1,27.6144,31.4708,33.996,38.1048,52,standard
segment-50-75-2,27.7816,31.6252,34.204,38.3172,53,standard
segment-50-75-3,27.9488,31.7796,34.412,38.5296,54,standard
segment-50-75-4,28.116,31.934,34.62,38.742,55,standard
segment-50-75-5,28.2832,32.0884,34.828,38.9544,56,standard
segment-50-75-6,28.4504,32.2428,35.036,39.1668,57,standard
segment-50-75-7,28.6176,32.3972,35.244,39.3792,58,standard
segment-50-75-8,28.7848,32.5516,35.452,39.5916,59,standard
segment-50-75-9,28.952,32.706,35.66,39.804,60,standard
segment-50-75-10,29.1192,32.8604,35.868,40.0164,61,standard
segment-50-75-11,29.2864,33.0148,36.076,40.2288,62,standard
segment-50-75-12,29.4536,33.1692,36.284,40.4412,63,standard
segment-50-75-13,29.6208,33.3236,36.492,40.6536,64,standard
segment-50-75-14,29.788,33.478,36.7,40.866,65,standard
segment-50-75-15,29.9552,33.6324,36.908,41.0784,66,standard
segment-50-75-16,30.1224,33.7868,37.116,41.2908,67,standard
segment-50-75-17,30.2896,33.9412,37.324,41.5032,68,standard
segment-50-75-18,30.4568,34.0956,37.532,41.7156,69,standard
segment-50-75-19,30.624,34.57266667,37.74,41.928,70,standard
segment-50-75-20,30.7912,34.89533333,37.948,42.1404,71,standard
segment-50-75-21,30.9584,35.218,38.156,42.3528,72,standard
segment-50-75-22,31.1256,35.54066667,38.364,42.5652,73,standard
segment-50-75-23,31.2928,35.86333333,38.572,42.7776,74,standard
segment-75-90-0,31.712,36.186,39.30733333,43.31266667,76,standard
segment-75-90-1,31.964,36.50866667,39.83466667,43.63533333,77,standard
segment-75-90-2,32.216,36.83133333,40.362,43.958,78,standard
segment-75-90-3,32.468,37.154,40.88933333,44.28066667,79,standard
segment-75-90-4,32.72,37.47666667,41.41666667,44.60333333,80,standard
segment-75-90-5,32.972,37.79933333,41.944,44.926,81,standard
segment-75-90-6,33.224,38.122,42.47133333,45.24866667,82,standard
segment-75-90-7,33.476,38.44466667,42.99866667,45.57133333,83,standard
segment-75-90-8,33.728,38.76733333,43.526,45.894,84,standard
segment-75-90-9,33.98,39.41166667,44.05333333,46.21666667,85,standard
segment-75-90-10,34.232,39.73333333,44.58066667,46.53933333,86,standard
segment-75-90-11,34.484,40.055,45.108,46.862,87,standard
segment-75-90-12,34.736,40.37666667,45.63533333,47.18466667,88,standard
segment-75-90-13,34.988,40.69833333,46.16266667,47.50733333,89,standard
segment-90-95-0,35.495,,47.26166667,48.33666667,91,standard
segment-90-95-1,35.75,,47.83333333,48.84333333,92,standard
segment-90-95-2,36.005,,48.405,49.35,93,standard
segment-90-95-3,36.26,,48.97666667,49.85666667,93,standard
segment-90-95-4,36.515,,49.54833333,50.36333333,94,standard
low-0,22.285,,26.5975,28.7475,1,standard
low-1,22.01,,26.225,28.435,2,standard
low-2,21.735,,25.8525,28.1225,3,standard
low-3,21.46,,25.48,27.81,4,standard
high-0,37.1525,41.5025,50.9775,51.63,96,standard
high-1,37.535,41.985,51.835,52.39,97,standard
high-2,37.9175,42.4675,52.6925,53.15,98,standard
high-3,38.3,42.95,53.55,53.91,99,standard
p50,27.28,30.39,33.58,37.68,50,percentile
