id,yearRange,age,value,percentile,type
p5,2021-2023,30–39,28.58,5,standard
p10,2021-2023,30–39,29.76,10,standard
p25,2021-2023,30–39,33.03,25,standard
p75,2021-2023,30–39,42.83,75,standard
p90,2021-2023,30–39,49.84,90,standard
p95,2021-2023,30–39,52.6,95,standard
segment-5-10-0,2021-2023,30–39,28.776666666666664,6,standard
segment-5-10-1,2021-2023,30–39,28.973333333333333,7,standard
segment-5-10-2,2021-2023,30–39,29.17,8,standard
segment-5-10-3,2021-2023,30–39,29.366666666666667,8,standard
segment-5-10-4,2021-2023,30–39,29.563333333333333,9,standard
segment-10-25-0,2021-2023,30–39,29.978,11,standard
segment-10-25-1,2021-2023,30–39,30.196,12,standard
segment-10-25-2,2021-2023,30–39,30.414,13,standard
segment-10-25-3,2021-2023,30–39,30.632,14,standard
segment-10-25-4,2021-2023,30–39,30.85,15,standard
segment-10-25-5,2021-2023,30–39,31.068,16,standard
segment-10-25-6,2021-2023,30–39,31.286,17,standard
segment-10-25-7,2021-2023,30–39,31.504,18,standard
segment-10-25-8,2021-2023,30–39,31.722,19,standard
segment-10-25-9,2021-2023,30–39,31.94,20,standard
segment-10-25-10,2021-2023,30–39,32.158,21,standard
segment-10-25-11,2021-2023,30–39,32.376000000000005,22,standard
segment-10-25-12,2021-2023,30–39,32.594,23,standard
segment-10-25-13,2021-2023,30–39,32.812,24,standard
segment-25-50-0,2021-2023,30–39,33.1748,26,standard
segment-25-50-1,2021-2023,30–39,33.3196,27,standard
segment-25-50-2,2021-2023,30–39,33.4644,28,standard
segment-25-50-3,2021-2023,30–39,33.6092,29,standard
segment-25-50-4,2021-2023,30–39,33.754,30,standard
segment-25-50-5,2021-2023,30–39,33.8988,31,standard
segment-25-50-6,2021-2023,30–39,34.0436,32,standard
segment-25-50-7,2021-2023,30–39,34.1884,33,standard
segment-25-50-8,2021-2023,30–39,34.3332,34,standard
segment-25-50-9,2021-2023,30–39,34.478,35,standard
segment-25-50-10,2021-2023,30–39,34.6228,36,standard
segment-25-50-11,2021-2023,30–39,34.7676,37,standard
segment-25-50-12,2021-2023,30–39,34.9124,38,standard
segment-25-50-13,2021-2023,30–39,35.0572,39,standard
segment-25-50-14,2021-2023,30–39,35.202,40,standard
segment-25-50-15,2021-2023,30–39,35.3468,41,standard
segment-25-50-16,2021-2023,30–39,35.4916,42,standard
segment-25-50-17,2021-2023,30–39,35.6364,43,standard
segment-25-50-18,2021-2023,30–39,35.7812,44,standard
segment-25-50-19,2021-2023,30–39,35.926,45,standard
segment-25-50-20,2021-2023,30–39,36.0708,46,standard
segment-25-50-21,2021-2023,30–39,36.2156,47,standard
segment-25-50-22,2021-2023,30–39,36.3604,48,standard
segment-25-50-23,2021-2023,30–39,36.5052,49,standard
segment-50-75-0,2021-2023,30–39,36.8972,51,standard
segment-50-75-1,2021-2023,30–39,37.1444,52,standard
segment-50-75-2,2021-2023,30–39,37.3916,53,standard
segment-50-75-3,2021-2023,30–39,37.638799999999996,54,standard
segment-50-75-4,2021-2023,30–39,37.885999999999996,55,standard
segment-50-75-5,2021-2023,30–39,38.133199999999995,56,standard
segment-50-75-6,2021-2023,30–39,38.3804,57,standard
segment-50-75-7,2021-2023,30–39,38.6276,58,standard
segment-50-75-8,2021-2023,30–39,38.8748,59,standard
segment-50-75-9,2021-2023,30–39,39.122,60,standard
segment-50-75-10,2021-2023,30–39,39.3692,61,standard
segment-50-75-11,2021-2023,30–39,39.6164,62,standard
segment-50-75-12,2021-2023,30–39,39.8636,63,standard
segment-50-75-13,2021-2023,30–39,40.1108,64,standard
segment-50-75-14,2021-2023,30–39,40.358,65,standard
segment-50-75-15,2021-2023,30–39,40.605199999999996,66,standard
segment-50-75-16,2021-2023,30–39,40.852399999999996,67,standard
segment-50-75-17,2021-2023,30–39,41.099599999999995,68,standard
segment-50-75-18,2021-2023,30–39,41.3468,69,standard
segment-50-75-19,2021-2023,30–39,41.593999999999994,70,standard
segment-50-75-20,2021-2023,30–39,41.8412,71,standard
segment-50-75-21,2021-2023,30–39,42.0884,72,standard
segment-50-75-22,2021-2023,30–39,42.3356,73,standard
segment-50-75-23,2021-2023,30–39,42.5828,74,standard
segment-75-90-0,2021-2023,30–39,43.297333333333334,76,standard
segment-75-90-1,2021-2023,30–39,43.76466666666666,77,standard
segment-75-90-2,2021-2023,30–39,44.232,78,standard
segment-75-90-3,2021-2023,30–39,44.699333333333335,79,standard
segment-75-90-4,2021-2023,30–39,45.166666666666664,80,standard
segment-75-90-5,2021-2023,30–39,45.634,81,standard
segment-75-90-6,2021-2023,30–39,46.101333333333336,82,standard
segment-75-90-7,2021-2023,30–39,46.568666666666665,83,standard
segment-75-90-8,2021-2023,30–39,47.036,84,standard
segment-75-90-9,2021-2023,30–39,47.50333333333334,85,standard
segment-75-90-10,2021-2023,30–39,47.970666666666666,86,standard
segment-75-90-11,2021-2023,30–39,48.438,87,standard
segment-75-90-12,2021-2023,30–39,48.90533333333334,88,standard
segment-75-90-13,2021-2023,30–39,49.37266666666667,89,standard
segment-90-95-0,2021-2023,30–39,50.300000000000004,91,standard
segment-90-95-1,2021-2023,30–39,50.760000000000005,92,standard
segment-90-95-2,2021-2023,30–39,51.22,93,standard
segment-90-95-3,2021-2023,30–39,51.68,93,standard
segment-90-95-4,2021-2023,30–39,52.14,94,standard
low-0,2021-2023,30–39,28.284999999999997,1,standard
