brand,parentCompany,marketType,sizeRange,garmentType,alphaSize,numericSizeMin,numericSizeMax,numericBottoms,bustMin,bustMax,waistMin,waistMax,hipMin,hipMax,dateCollected,link
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Tops,XXS,000,00,,29.5,31.5,,,,,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Tops,XS,0,2,,31.5,33.5,,,,,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Tops,S,4,6,,33.5,35.5,,,,,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Tops,M,8,10,,35.5,38,,,,,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Tops,L,12,14,,38,41,,,,,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Tops,XL,16,18,,41,45,,,,,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Tops,XXL,20,22,,45,49,,,,,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Tops,XXXL,24,,,49,53,,,,,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Bottoms,XXS,000,,23,,,22.5,23.5,32,33,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Bottoms,XXS,00,,24,,,23.5,24.5,33,34,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Bottoms,XS,0,,25,,,24.5,25.5,34,35,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Bottoms,XS,2,,26,,,25.5,26.5,35,36,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Bottoms,S,4,,27,,,26.5,27.5,36,37.5,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Bottoms,S,6,,28,,,27.5,29,37.5,38.5,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Bottoms,M,8,,29,,,29,30.5,38.5,39.5,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Bottoms,M,10,,30,,,30.5,32,39.5,41,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Bottoms,L,12,,31,,,32,33.5,41,42.5,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Bottoms,L,14,,32,,,33.5,35.5,42.5,44,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Bottoms,XL,16,,33,,,35.5,37.5,44,46,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Bottoms,XL,18,,34,,,37.5,39.5,46,48,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Bottoms,XXL,20,,35,,,39.5,42,48,50.5,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Bottoms,XXL,22,,36,,,42,44.5,50.5,53,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Bottoms,XXXL,24,,37,,,44.5,47,53,55.5,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Plus,Bottoms,XXS,000,,23,,,22.5,23.5,34,35,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Plus,Bottoms,XXS,00,,24,,,23.5,24.5,35,36,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Plus,Bottoms,XS,0,,25,,,24.5,25.5,36,37,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Plus,Bottoms,XS,2,,26,,,25.5,26.5,37,38,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Plus,Bottoms,S,4,,27,,,26.5,27.5,38,39.5,2025/02/19,
